start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
1502.32,1503.12,JENNY,FORREST,HAND,FACE,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1515.08,1515.68,JENNY,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1537.76,1540.44,MEN,MEN,CHEST,BACK,JOSTLE,1,NEGATIVE,NEGATIVE,0,NARRATION
1580.60,1582.72,MEN,MEN,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1584.96,1585.68,MEN,MEN,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1592.88,1594.00,FORREST,MEN,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1640.92,1643.32,MEN,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1640.92,1643.32,FORREST,MEN,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1646.40,1647.52,MRS_GUMP,FORREST,ARM,ARM,HOOK_ARM,0,POSITIVE,POSITIVE,0,
1646.40,1647.52,FORREST,MRS_GUMP,ARM,ARM,HOOK_ARM,0,POSITIVE,POSITIVE,0,
1648.40,1649.80,MRS_GUMP,FORREST,HAND,HEAD,FIX_CLOTHING,0,POSITIVE,POSITIVE,1,
1693.56,1734.08,FORREST,BUBBA,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,1,
1719.60,1722.68,BUBBA,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1510.08,1759.04,FORREST,BUBBA,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
1750.08,1759.04,BUBBA,FORREST,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
1999.32,1999.44,JENNY,MEN,FOOT,HAND,HIT,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
2013.56,2015.24,FORREST,MEN,HAND,BACK,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
2015.64,2015.80,MEN,FORREST,HAND,ARM,HOLD,0,NEGATIVE,NEGATIVE,1,
2015.88,2016.72,FORREST,MEN,HAND,CHEST,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
2021.20,2024.64,FORREST,JENNY,ARM CHEST,BACK LEG,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,NARRATION
2519.92,2582.92,BUBBA,FORREST,BACK,BACK,NESTLE,0,POSITIVE,POSITIVE,1,AUDITORY
2605.92,2607.52,JENNY,MEN,CHEST,CHEST,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
2712.88,2714.96,DAN,FORREST,HAND,SHOULDER,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,
2783.80,2786.16,FORREST,MEN,HAND,SHOULDER,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,NARRATION
2786.20,2804.16,FORREST,MEN,NAPE,CHEST ABDOMEN,CARRY,1,POSITIVE,POSITIVE,1,NARRATION
2810.84,2813.44,FORREST,MEN,NAPE,CHEST ABDOMEN,CARRY,1,POSITIVE,POSITIVE,1,AUDITORY
2818.68,2819.56,FORREST,MEN,HAND,BACK,CHANGE_POSITION,0,POSITIVE,POSITIVE,1,
2839.16,2841.08,FORREST,MEN,HAND,BACK,SCAN,0,POSITIVE,POSITIVE,1,
2842.28,2844.76,FORREST,DAN,CHEST HAND,CHEST,LAY_ON_SOMEBODY,0,POSITIVE,NEGATIVE,1,
2844.80,2844.88,DAN,FORREST,ARM,CHEST,PUSH_AWAY,1,NEGATIVE,NEGATIVE,1,
2846.24,2856.24,DAN,FORREST,HAND CHEST,HAND CHEST,WRESTLE,1,NEGATIVE,POSITIVE,,
2856.84,2861.32,FORREST,DAN,SHOULDER,CHEST,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,NARRATION
2867.00,2870.68,FORREST,DAN,SHOULDER,CHEST,CARRY,1,POSITIVE,NEGATIVE,1,
2875.84,2891.00,FORREST,DAN,HAND,ARM,PULL_SOMEBODY,1,POSITIVE,NEGATIVE,1,NARRATION
2881.24,2897.48,FORREST,DAN,SHOULDER,CHEST,CARRY,1,POSITIVE,NEGATIVE,1,NARRATION
2899.32,2910.64,DAN,FORREST,HAND,SHOULDER,HOLD,1,NEGATIVE,NEGATIVE,1,NARRATION
2961.32,2976.80,FORREST,BUBBA,ARM,BACK LEG,CARRY,1,POSITIVE,POSITIVE,1,NARRATION
2989.48,2995.76,FORREST,BUBBA,ARM,BACK LEG,CARRY,1,POSITIVE,POSITIVE,1,NARRATION
3004.64,3059.68,FORREST,BUBBA,ARM,BACK LEG,CARRY,1,POSITIVE,POSITIVE,1,NARRATION
3124.20,3126.00,MEN,DAN,HAND,HAND,HOLD_HANDS,0,POSITIVE,NEGATIVE,1,NARRATION
3128.60,3132.64,MEN,DAN,ARM,BACK ARM,CHANGE_POSITION,1,POSITIVE,NEGATIVE,1,NARRATION
3132.68,3141.12,MEN,DAN,ARM,BACK BUTTOCKS,CARRY,1,POSITIVE,NEGATIVE,1,NARRATION
3309.92,3314.88,MEN,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
3353.96,3354.36,WOMAN,FORREST,HAND,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,1,
3354.52,3356.28,WOMAN,FORREST,HAND,BACK,LEAD,0,POSITIVE,POSITIVE,1,
3356.72,3356.88,WOMAN,MEN,HAND,BACK,BRUSH PAST,0,POSITIVE,POSITIVE,1,
3357.12,3357.76,WOMAN,FORREST,HAND,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,1,
3360.88,3365.32,MEN,FORREST,HAND,BACK HIP,LEAD,0,POSITIVE,POSITIVE,1,NARRATION
3371.12,3371.36,WOMAN,MEN,HAND,ARM,LEAD,0,POSITIVE,POSITIVE,1,NARRATION
3372.08,3372.36,WOMAN,MEN,HAND,ARM,LEAD,0,POSITIVE,POSITIVE,1,NARRATION
3372.28,3373.84,MEN,FORREST,HAND,BACK,LEAD,0,POSITIVE,POSITIVE,1,
3373.32,3374.12,WOMAN,MEN,HAND,BACK,LEAD,0,POSITIVE,POSITIVE,1,NARRATION
3377.60,3378.80,WOMAN,FORREST,HAND,ARM BACK,LEAD,0,POSITIVE,POSITIVE,1,
3378.84,3379.76,WOMAN,FORREST,HAND,ARM,PULL_SOMEBODY,0,POSITIVE,POSITIVE,1,
3381.72,3382.72,MEN,FORREST,HAND,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,1,
3417.76,3419.32,WOMAN,FORREST,HAND,ARM,LEAD,0,POSITIVE,POSITIVE,1,
3423.20,3424.08,MEN,FORREST,HAND,BACK,LEAD,0,POSITIVE,POSITIVE,1,
3424.88,3459.68,CROWD,CROWD,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,NARRATION
3488.56,3490.32,WOMAN,MEN,ARM,ARM,PUSH_AWAY,0,NEGATIVE,NEGATIVE,1,
3493.48,3493.76,WOMAN,MEN,HAND,BACK,NUDGE,0,NEGATIVE,NEGATIVE,1,
3494.92,3495.64,MEN,MEN,HAND,ARM,PUSH_AWAY,1,NEGATIVE,NEGATIVE,1,NARRATION
3494.36,3526.52,CROWD,CROWD,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
3524.64,3535.76,MEN,FORREST,HAND ARM,SHOULDER,ARM_AROUND_SHOULDER,0,POSITIVE,POSITIVE,1,NARRATION
3536.56,3551.28,CROWD,CROWD,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
